"DATE","ACE","ALB1","ALB2","ALTH","ANDE","ANGO","ARDA","ATKI","BAMB","BENN","BEVE","BIDD","BLUE","BOA1","BOKA","BOYU","BROA","BROW","BRUC","BRYD","BYEN","CAIR","CAME","CAMP","CAPA","CASU","CHAN","CHIT","CLIF","CMBG","COLL","COOM","CORR","COYR","CRAC","CRAN","CRON","DAVI","DOBA","DOWE","DULB","DUMB","DUND","EGAN","EGRE","ELLE","ENEM","ESP1","ESP2","ESP3","ESP4","ESP5","FLAG","FORR","FRAS","GARD","GIBB","GING","GNO1","GNO2","GOON","GOOR","GORE","GOUN","GUND","GURA","HARV","HEBI","HIND","JAND","JASP","JERD","JOON","KARA","KENT","KOND","KWOB","KWOR","LITT","LOGU","MARI","MART","MCLA","MEAR","METT","MIRI","MLGR","MOAT","MOLL","MORT","MTMA","MUIR","MUNG","MURA","MURR","NAMB","NGOP","NINA","NINE","NONA","NOOB","NOON","NPAR","OWIN","PABE","PALL","PARK","PILL","PINJ","PLAN","PLEA","POOR","POWE","QUEE","RANG","REDB","REDM","RONN","SHAR","SHAS","STAT","STRE","TAAN","TAAR","THOM","TOOL","TORD","TOWE","TWIN","UNIC","VARL","WAGI","WALB","WALL","WALY","WANN","WARD","WARG","WARR","WEST","WHEA","WHIA","WHIN","WHIW","WILD","WILS","YAAL","YARN","YARR","YEAL","YELL","YURI"
1988-01-03,NA,NA,NA,NA,NA,NA,NA,NA,14.0175438596491,NA,112.247502774695,NA,NA,NA,NA,73.5139442231076,57.027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3035294117647,19.182755388941,32.4817621311244,NA,NA,NA,NA,NA,NA,NA,NA,31.4761904761905,99.1691919191919,99.015391014975,NA,NA,NA,NA,14.3650398243141,92,NA,NA,NA,NA,NA,NA,NA,16.6148082855884,122.344927536232,NA,80.6136363636364,13.5253164556962,NA,NA,95.5476673427992,76.4812834224599,NA,NA,NA,NA,44.4,NA,112.3434313493,29.9790808240887,8.2779296519045,NA,16.118224987719,NA,NA,NA,NA,NA,NA,NA,10.9143041237113,NA,59.3408029878618,NA,NA,NA,NA,NA,101.471497584541,NA,NA,NA,139.625,NA,74.3655462184874,131.651079136691,NA,53.2112693197031,30.7783251231527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1898428053204,NA,NA,25.6511508951407,89.8620689655172,NA,NA,NA,NA,55.195652173913,164.979642763331,40.6013309134906,NA,NA,NA,NA,NA,NA,NA,NA,119.459016393443,19.9144254278729,NA,NA,NA,NA,NA,21.2916666666667
1988-01-05,98.5137061403509,NA,NA,81.3159322033898,NA,26.8385416666667,NA,139.903543307087,NA,82.9954248366013,NA,58.2115384615385,NA,NA,NA,NA,NA,NA,NA,144.319628647215,NA,97.5476514635807,NA,NA,NA,NA,NA,NA,NA,NA,108.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7422775472568,NA,NA,NA,134.613333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.171516079632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4464516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6955732580417,NA,NA,NA,NA,97.7616424636955,NA,NA,NA,98.6217948717949,NA,NA,78.4419460343418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7619047619048,NA,NA,NA,NA,NA
1988-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7540106951872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.921739130435,NA,NA,NA,NA,NA,NA,NA,NA,59.7042716319825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-01-21,NA,91.6797966963151,54.1222385861561,88.3708474576271,NA,25.1736111111111,NA,137.116141732283,NA,86.4751633986928,NA,60.5096153846154,NA,NA,NA,NA,NA,NA,NA,129.744031830239,NA,97.6245745405037,NA,NA,NA,NA,NA,NA,NA,NA,72.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13324112494237,NA,NA,108.531335149864,127.6,NA,NA,NA,99.4135393671818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.385911179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8707482993197,NA,NA,17.8316129032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5657894736842,62.0883331652718,NA,NA,NA,NA,85.5052578868303,NA,NA,NA,75.8076923076923,NA,NA,92.8683565004088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7308347529813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5047923322684,NA,NA,NA,NA,44.7023809523809,NA,NA,NA,46.9526730937774,NA
1988-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4912280701754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.201138519924,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.177358490566,NA,NA,NA,NA,NA,NA,NA,NA,107.804806991988,NA,NA,17.8693467336683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7377232142857,NA,NA,NA,NA,NA,NA,NA,151.291847826087,NA,NA,NA,NA,NA,105.92786259542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.951877766671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.751677852349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-01-28,NA,NA,NA,NA,NA,NA,101.402684563758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.443712969059,39.2241379310345,NA,NA,NA,NA,113.318077803204,NA,NA,NA,NA,NA,NA,NA,NA,85.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.473644578313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.556237218814,NA,NA,NA,NA,NA,NA,117.885852090032,NA,NA,NA,NA,NA,NA,NA,NA,147.129411764706,NA,114.601398601399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.127659574468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.097478991597,NA,NA,NA,NA,NA,36.6293508936971,NA,NA
1988-02-06,93.4073464912281,NA,NA,104.413559322034,NA,NA,NA,143.712598425197,NA,92.0542483660131,NA,64.4134615384615,NA,NA,NA,NA,NA,NA,NA,145.092838196286,NA,101.078965282505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.889447236181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.086666666667,NA,NA,NA,120.555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.716692189893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6184329938489,NA,NA,NA,NA,NA,NA,NA,NA,96.3269230769231,NA,NA,87.7179067865903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2221465076661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5476190476191,NA,NA,NA,NA,NA
1988-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.666254737189,NA,NA,NA,NA,NA,64.3776408450704,75.9787234042553,88.1152019002375,68.6448598130841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2272576177285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2916666666667,NA,NA,54.5377668308703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8034188034188,NA,78.5043731778426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7874949467727,NA,NA,NA,17.2805507745267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7894736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.214421252372,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0905660377359,NA,NA,NA,NA,NA,NA,NA,NA,116.115804806992,NA,NA,19.2110552763819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.9583333333333,NA,NA,NA,NA,NA,NA,NA,170.70652173913,NA,NA,NA,NA,NA,114.191603053435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.459945737541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5637583892617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-02-13,NA,NA,NA,NA,NA,NA,120.96644295302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5862068965517,NA,NA,NA,NA,135.283993737203,NA,NA,NA,NA,NA,NA,NA,NA,91.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.002259036145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.318426656645,NA,NA,NA,NA,NA,NA,NA,179.701431492843,NA,NA,NA,NA,NA,NA,145.610932475884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.475524475524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.978723404255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
